tempo,rpmEsquerdo,rpmDireito,corrente
102,0.00,29.29,337.00
155,102.07,80.14,212.00
175,102.07,92.64,202.00
195,50.45,92.64,195.00
216,50.45,92.64,189.00
235,96.82,59.93,185.00
277,96.82,99.00,178.00
297,51.17,73.87,176.00
318,114.78,133.79,174.00
338,114.78,133.79,172.00
358,61.55,86.04,171.00
378,61.55,141.64,169.00
398,125.67,141.64,169.00
418,125.67,92.01,167.00
439,64.76,158.39,167.00
458,136.39,95.68,166.00
479,136.39,167.86,165.00
499,66.48,167.86,165.00
519,140.69,99.75,164.00
539,140.69,172.89,164.00
563,70.51,103.95,163.00
583,157.36,175.89,163.00
603,157.36,106.11,162.00
623,71.41,180.33,162.00
644,153.28,108.12,162.00
663,153.28,184.18,161.00
684,70.89,107.57,162.00
704,154.73,183.28,161.00
723,154.73,183.28,161.00
744,68.59,174.42,161.00
785,152.10,174.42,160.00
805,152.10,67.93,161.00
825,65.63,97.04,161.00
845,142.07,97.04,161.00
866,142.07,97.04,160.00
885,60.50,45.66,161.00
906,122.07,45.66,160.00
925,122.07,45.66,160.00
946,122.07,58.12,160.00
966,52.54,58.12,160.00
990,109.99,58.12,160.00
1009,109.99,58.12,160.00
1030,109.99,58.12,160.00
1049,51.00,58.12,160.00
1070,51.00,58.12,160.00
1089,116.68,58.12,160.00
1110,116.68,58.12,160.00
1130,58.75,58.12,160.00
1149,129.40,58.12,160.00
1170,129.40,58.12,160.00
1190,129.40,58.12,160.00
1210,64.23,58.12,160.00
1230,124.25,58.12,160.00
1250,124.25,58.12,160.00
1291,49.98,58.12,160.00
1311,98.55,58.12,160.00
1331,98.55,58.12,160.00
1351,98.55,58.12,160.00
1371,56.74,58.12,160.00
1391,141.22,58.12,160.00
1415,141.22,58.12,160.00
1435,62.02,58.12,160.00
1455,62.02,58.12,160.00
1475,121.38,58.12,160.00
1495,121.38,58.12,160.00
1515,53.37,58.12,160.00
1534,53.37,0.00,160.00
1555,96.20,0.00,160.00
1574,96.20,0.00,160.00
1595,96.20,0.00,160.00
1614,96.20,0.00,160.00
1635,35.43,0.00,160.00
1654,35.43,0.00,160.00
1675,93.35,0.00,160.00
1694,93.35,0.00,160.00
1715,93.35,0.00,160.00
1734,40.68,0.00,160.00
1755,40.68,0.00,160.00
1797,40.68,0.00,161.00
1816,45.38,0.00,161.00
1837,45.38,0.00,161.00
1860,45.38,0.00,161.00
1880,45.38,0.00,161.00
1900,45.38,0.00,161.00
1920,45.38,0.00,161.00
1940,24.28,0.00,161.00
1959,24.28,0.00,161.00
1980,66.84,0.00,161.00
1999,66.84,0.00,161.00
2020,66.84,0.00,161.00
2039,66.84,0.00,161.00
2060,33.39,0.00,161.00
2079,33.39,0.00,161.00
2100,79.79,0.00,161.00
2119,79.79,0.00,161.00
2140,79.79,0.00,161.00
2159,79.79,0.00,161.00
2180,45.28,0.00,161.00
2199,101.09,0.00,161.00
2220,101.09,0.00,162.00
2239,101.09,0.00,162.00
2259,47.47,0.00,162.00
2305,108.12,0.00,162.00
2324,108.12,0.00,162.00
2344,55.41,0.00,162.00
2365,134.94,2.10,162.00
2384,134.94,162.02,162.00
2405,69.58,162.02,162.00
2425,167.19,162.02,162.00
2446,167.19,56.24,162.00
2465,80.93,56.24,163.00
2486,195.52,92.94,162.00
2506,90.38,92.94,162.00
2527,90.38,59.38,162.00
2546,90.38,103.28,162.00
2567,65.39,103.28,162.00
2587,65.39,103.28,162.00
2607,67.22,60.88,163.00
2627,67.22,108.76,163.00
2648,67.51,108.76,163.00
2668,67.51,70.22,163.00
2688,68.97,70.22,163.00
2711,68.97,116.79,163.00
2732,66.83,116.79,163.00
2751,188.11,70.29,163.00
2790,188.11,106.46,163.00
2813,60.57,106.46,163.00
2834,111.11,55.51,163.00
2854,111.11,85.57,164.00
2874,111.11,85.57,164.00
2894,111.11,85.57,164.00
2915,36.62,85.57,164.00
2934,36.62,43.45,164.00
2955,36.62,43.45,164.00
2975,44.24,70.38,164.00
2995,44.24,70.38,164.00
3015,44.24,70.38,164.00
3035,44.24,70.38,164.00
3055,44.24,36.18,164.00
3076,44.24,36.18,164.00
3095,44.24,61.18,164.00
3116,44.24,61.18,164.00
3139,44.24,61.18,164.00
3159,44.24,61.18,164.00
3179,44.24,36.78,164.00
3200,44.24,36.78,164.00
3219,44.24,36.78,164.00
3239,44.24,68.41,164.00
3260,44.24,68.41,164.00
3301,44.24,68.41,164.00
3321,44.24,36.93,164.00
3341,44.24,36.93,164.00
3361,44.24,61.34,164.00
3381,44.24,61.34,164.00
3401,44.24,61.34,165.00
3422,44.24,43.20,165.00
3441,44.24,43.20,164.00
3462,44.24,74.38,165.00
3481,44.24,74.38,165.00
3502,44.24,74.38,165.00
3521,44.24,74.38,165.00
3542,44.24,42.59,165.00
3562,5.18,42.59,165.00
3598,132.53,91.11,165.00
3621,132.53,59.20,165.00
3645,60.60,99.79,165.00
3670,115.24,99.79,165.00
3693,115.24,99.79,165.00
3717,49.15,60.41,165.00
3740,108.87,124.69,165.00
3765,108.87,78.58,165.00
3788,108.87,141.19,165.00
3834,126.67,154.04,165.00
3858,126.67,154.04,165.00
3881,59.39,91.81,166.00
3905,129.40,160.22,165.00
3930,129.40,97.15,166.00
3953,62.24,173.17,166.00
3977,138.33,101.45,166.00
4000,138.33,176.30,166.00
4025,69.87,177.73,166.00
4048,143.24,177.73,166.00
4077,70.61,179.68,166.00
4102,153.50,106.88,166.00
4124,153.50,183.11,166.00
4149,68.19,102.11,166.00
4172,144.23,145.83,166.00
4196,144.23,145.83,166.00
