tempo,rpmEsquerdo,rpmDireito,corrente
103,29.16,0.00,337.00
139,104.46,27.54,225.00
171,123.31,89.63,205.00
212,66.82,64.33,190.00
240,146.37,114.59,184.00
264,78.67,68.02,181.00
287,159.51,139.02,178.00
311,159.51,139.02,175.00
334,170.96,86.37,173.00
358,170.96,145.18,171.00
381,87.38,88.64,170.00
405,180.33,155.28,169.00
429,88.31,90.65,168.00
452,198.15,154.93,167.00
476,90.90,91.84,166.00
499,90.90,159.78,165.00
523,64.26,159.78,165.00
547,64.26,162.48,164.00
571,63.00,162.48,164.00
594,63.00,168.31,163.00
618,65.27,168.31,163.00
642,193.60,163.79,162.00
665,91.07,163.79,162.00
692,199.31,161.12,162.00
715,90.73,161.12,162.00
739,193.10,94.43,161.00
763,90.29,157.86,161.00
811,84.64,148.90,161.00
834,181.82,90.14,161.00
858,86.84,153.34,161.00
881,191.38,92.57,161.00
906,87.21,152.50,161.00
929,188.49,152.50,160.00
953,86.27,89.53,160.00
977,196.13,148.19,160.00
1001,196.13,90.90,160.00
1026,87.17,155.12,160.00
1049,87.17,92.65,160.00
1073,61.97,158.93,160.00
1096,61.97,95.01,160.00
1121,195.98,160.43,160.00
1144,195.98,92.67,160.00
1168,90.62,161.29,160.00
1196,64.48,96.76,160.00
1219,64.48,163.65,160.00
1244,64.08,95.94,160.00
1267,64.08,167.60,160.00
1292,63.28,95.31,160.00
1315,63.28,164.51,160.00
1339,63.57,164.51,160.00
1363,197.52,159.74,160.00
1409,89.71,92.96,160.00
1433,63.65,160.46,160.00
1457,199.89,93.05,160.00
1480,92.39,155.73,160.00
1505,199.84,91.53,160.00
1528,89.01,162.44,160.00
1553,89.01,93.90,160.00
1576,64.46,165.53,161.00
1600,196.44,96.74,160.00
1625,94.21,171.55,161.00
1648,94.21,96.64,161.00
1672,64.29,167.71,161.00
1701,193.80,96.43,161.00
1726,92.73,165.42,161.00
1750,92.73,96.34,161.00
1773,64.28,162.65,161.00
1797,194.55,96.17,161.00
1820,91.89,161.33,161.00
1844,91.89,96.61,161.00
1868,63.86,161.08,161.00
1892,195.82,97.28,161.00
1915,88.85,156.54,161.00
1939,88.85,156.54,161.00
1981,62.14,152.50,161.00
2009,61.63,92.21,162.00
2032,61.63,155.83,162.00
2057,62.36,94.89,162.00
2080,199.95,164.08,162.00
2104,91.31,96.35,162.00
2128,91.31,164.26,162.00
2152,64.51,93.98,162.00
2176,64.51,160.19,162.00
2220,199.04,165.60,162.00
2244,92.78,95.91,162.00
2268,194.81,167.22,162.00
2292,94.76,92.97,162.00
2316,196.03,157.96,162.00
2339,89.15,157.96,162.00
2364,89.15,64.78,163.00
2387,59.05,64.78,163.00
2411,168.69,75.48,163.00
2435,168.69,75.48,163.00
2459,74.35,75.48,163.00
2483,147.84,37.59,163.00
2506,147.84,37.59,163.00
2530,62.58,37.59,163.00
2573,141.30,47.33,163.00
2600,60.72,47.33,163.00
2624,122.51,47.33,163.00
2648,122.51,47.33,163.00
2672,56.54,47.33,163.00
2696,120.99,47.33,163.00
2722,120.99,19.21,163.00
2747,58.82,19.21,164.00
2770,125.73,19.21,164.00
2794,125.73,19.21,164.00
2819,61.44,26.03,164.00
2842,135.94,26.03,164.00
2866,135.94,68.52,164.00
2889,69.64,105.51,164.00
2914,166.78,105.51,164.00
2937,80.72,105.51,164.00
2961,194.96,55.53,164.00
2985,89.22,107.05,164.00
3009,199.15,107.05,164.00
3033,90.99,63.75,164.00
3057,90.99,120.04,164.00
3081,67.57,120.04,164.00
3104,67.57,68.27,164.00
3129,66.78,116.73,164.00
3174,66.30,128.80,164.00
3202,66.30,128.80,164.00
3225,64.93,75.04,164.00
3249,64.93,122.71,164.00
3273,66.09,82.28,165.00
3297,66.09,143.21,165.00
3320,198.15,143.21,164.00
3345,198.15,73.41,165.00
3368,94.52,118.58,165.00
3392,94.52,118.58,165.00
3416,170.61,72.76,165.00
3440,170.61,120.91,165.00
3464,59.30,120.91,165.00
3487,59.30,74.94,166.00
3511,92.83,108.82,165.00
3535,92.83,108.82,165.00
3559,92.83,48.01,165.00
3582,92.83,48.01,165.00
3606,92.83,67.35,165.00
3630,92.83,67.35,165.00
3654,92.83,67.35,166.00
3681,92.83,67.35,165.00
3704,92.83,31.13,166.00
3747,92.83,31.13,165.00
3775,92.83,51.35,166.00
3800,92.83,51.35,166.00
3823,92.83,51.35,166.00
3847,92.83,51.35,166.00
3870,92.83,31.89,166.00
3894,7.72,31.89,166.00
3918,7.72,58.40,166.00
3942,60.91,58.40,166.00
3965,60.91,58.40,166.00
3989,54.41,42.92,166.00
4014,54.41,95.81,166.00
4037,107.88,95.81,166.00
4061,107.88,63.12,166.00
4084,49.36,109.35,167.00
4109,113.45,109.35,166.00
4132,113.45,68.50,166.00
4156,113.45,142.53,166.00
4180,52.90,86.08,167.00
4207,111.67,151.55,167.00
4232,111.67,90.80,167.00
4255,57.59,155.60,167.00
4279,129.09,155.60,167.00
4303,129.09,162.34,167.00
4348,129.89,163.86,167.00
4372,129.89,163.86,167.00
4396,66.19,97.52,167.00
4420,137.34,168.65,167.00
4444,137.34,169.91,167.00
4468,59.74,169.91,167.00
4492,124.88,174.18,167.00
4515,124.88,174.18,167.00
4540,60.74,67.92,168.00
4563,136.91,67.92,168.00
4587,136.91,93.49,168.00
4612,61.44,93.49,168.00
4635,130.37,44.92,168.00
4659,130.37,44.92,168.00
4686,53.24,44.92,168.00
4710,83.89,51.24,168.00
4733,83.89,51.24,168.00
4758,83.89,51.24,168.00
4782,83.89,51.24,168.00
4805,33.84,51.24,168.00
4829,33.84,51.24,168.00
4852,80.61,51.24,168.00
4877,80.61,51.24,168.00
4900,80.61,51.24,168.00
4945,33.62,51.24,168.00
4969,80.88,51.24,168.00
4993,80.88,51.24,168.00
5016,80.88,51.24,168.00
5040,40.18,51.24,168.00
5064,40.18,51.24,169.00
5088,96.31,51.24,168.00
5111,96.31,51.24,168.00
5136,48.27,51.24,169.00
5159,122.79,51.24,169.00
5183,122.79,51.24,169.00
5207,58.27,51.24,169.00
5230,133.64,51.24,169.00
5254,133.64,51.24,169.00
5277,60.62,51.24,169.00
5301,128.25,0.00,169.00
5324,128.25,0.00,169.00
