tempo,rpmEsquerdo,rpmDireito,corrente
104,0.00,0.00,512.00
162,122.89,0.00,513.00
186,60.17,48.76,512.00
209,150.39,101.15,511.00
234,150.39,101.15,512.00
258,175.36,64.05,511.00
282,175.36,117.76,509.00
306,85.02,117.76,511.00
330,194.20,68.81,511.00
354,88.95,134.87,513.00
378,197.63,80.09,513.00
402,91.77,145.46,512.00
427,91.77,145.46,511.00
450,64.40,144.31,513.00
475,64.40,144.31,512.00
501,60.90,83.76,513.00
526,161.22,151.36,513.00
549,161.22,83.86,513.00
574,48.90,130.84,513.00
598,91.66,130.84,512.00
621,91.66,77.23,511.00
646,91.66,110.64,510.00
669,54.14,110.64,512.00
694,154.77,58.52,512.00
717,67.76,116.33,514.00
762,161.36,138.12,512.00
787,161.36,138.12,513.00
811,54.94,76.74,514.00
835,79.77,111.34,511.00
859,79.77,111.34,512.00
882,79.77,57.90,512.00
907,79.77,57.90,513.00
930,79.77,77.20,513.00
954,79.77,77.20,512.00
978,79.77,77.20,512.00
1002,79.77,77.20,513.00
1030,79.77,27.37,513.00
1053,79.77,27.37,513.00
1077,13.03,27.37,511.00
1101,107.87,48.43,511.00
1125,107.87,48.43,510.00
1149,52.78,0.00,510.00
1173,105.19,0.00,512.00
1198,105.19,100.16,513.00
1221,105.19,100.16,512.00
1246,53.17,139.22,511.00
1269,112.83,139.22,513.00
1294,112.83,85.54,514.00
1317,53.29,151.09,513.00
1363,115.81,163.04,511.00
1387,59.70,95.74,513.00
1412,140.06,168.92,512.00
1435,140.06,99.79,513.00
1460,63.93,172.14,512.00
1483,144.09,103.29,512.00
1508,144.09,178.70,513.00
1534,65.27,106.49,512.00
1559,147.90,181.25,510.00
1583,147.90,183.69,513.00
1607,154.42,183.69,512.00
1632,154.42,184.96,512.00
1655,62.78,109.08,512.00
1680,147.00,194.00,513.00
1703,147.00,108.30,513.00
1728,68.41,182.48,511.00
1752,152.78,108.96,514.00
1776,152.78,192.06,511.00
1800,157.86,108.60,510.00
1823,157.86,170.69,512.00
1848,74.46,103.04,510.00
1872,160.36,170.57,513.00
1896,160.36,100.89,512.00
1921,149.76,170.03,513.00
1965,70.96,168.16,513.00
1989,145.52,100.67,513.00
2016,145.52,162.16,512.00
2040,69.25,176.10,513.00
2064,147.20,176.10,514.00
2088,147.20,180.33,512.00
2113,157.76,105.49,513.00
2137,157.76,176.22,513.00
2161,70.01,100.90,512.00
2185,149.34,176.97,510.00
2209,149.34,104.66,511.00
2233,151.91,174.01,511.00
2257,151.91,104.22,512.00
2281,67.68,182.79,511.00
2306,158.43,101.32,511.00
2329,158.43,179.43,513.00
2354,69.55,101.16,511.00
2377,145.83,174.58,511.00
2402,145.83,99.92,510.00
2425,144.84,174.66,510.00
2450,144.84,101.75,512.00
2478,68.82,174.58,511.00
2501,147.32,183.19,513.00
2543,71.81,184.23,511.00
2571,158.29,108.27,511.00
2595,70.45,192.06,512.00
2620,149.94,108.55,511.00
2643,149.94,186.24,513.00
2668,74.15,108.95,512.00
2692,166.15,188.77,512.00
2716,73.27,107.08,511.00
2740,154.99,180.85,513.00
2764,154.99,179.73,512.00
2788,72.41,179.73,514.00
2812,152.38,178.74,512.00
2837,67.42,106.66,512.00
2861,133.81,174.05,513.00
2884,133.81,99.88,513.00
