tempo,rpmEsquerdo,rpmDireito,corrente
0,86.55,107.71,534.61
1,108.58,85.52,508.64
2,75.67,15.99,509.02
3,63.26,69.99,511.64
4,102.3,99.95,513.88
5,91.43,56.11,515.88
6,76.56,85.52,517.59
7,90.84,59.14,519.21
8,46.84,82.8,521.1
9,95.18,78.81,521.71
10,91.13,66.37,522.78
11,52.39,67.38,523.85
12,93.41,71.82,525.28
13,87.29,33.59,525.98
14,91.67,99.98,526.42
15,87.64,73.28,527.0
16,96.78,75.16,527.8
17,85.46,94.27,528.21
18,79.33,54.75,529.0
19,39.62,71.66,529.98
20,97.48,100.84,530.0
21,99.14,57.35,530.17
22,51.19,61.16,531.0
23,95.24,79.01,531.38
24,85.44,74.96,531.98
25,36.3,69.14,532.73
26,72.9,108.62,532.45
27,92.86,37.88,533.0
28,106.07,49.6,533.32
29,66.4,85.05,533.38
30,93.77,68.03,534.0
31,53.32,69.3,534.59
32,61.47,84.03,534.71
33,97.16,47.34,534.95
34,59.74,70.48,535.02
35,87.88,71.57,535.8
36,99.87,84.63,535.97
37,111.82,64.36,536.0
