tempo,rpmEsquerdo,rpmDireito,corrente
0,114.18,94.26,511.73
1,93.8,93.79,512.22
2,130.58,148.34,511.88
3,99.68,125.82,511.97
4,82.97,75.63,511.38
5,117.24,53.9,511.7
6,119.96,48.84,510.48
7,111.62,57.42,509.97
8,85.33,81.54,510.3
9,92.66,100.74,510.5
10,73.82,108.76,510.74
11,98.29,108.84,510.97
12,88.38,67.8,510.76
13,107.63,115.88,510.54
14,98.59,53.24,510.67
15,69.37,76.27,510.2
16,109.74,140.59,510.15
17,102.43,131.65,510.48
18,51.08,85.08,510.05
19,65.22,107.19,510.13
20,84.87,119.95,510.08
21,86.44,90.45,509.85
22,115.11,5.58,509.95
23,108.8,45.99,510.18
24,94.33,72.63,510.02
25,80.64,87.1,509.64
26,98.23,69.99,509.9
27,93.71,60.25,509.95
28,96.98,43.34,509.85
29,48.0,55.45,509.85
30,87.9,118.48,509.85
31,77.06,58.11,509.9
32,84.11,90.28,510.0
33,73.43,90.18,510.0
34,83.8,82.91,509.9
35,14.0,53.46,510.05
36,66.99,99.1,509.8
37,65.74,108.78,509.51
38,84.85,69.18,509.59
39,82.05,47.95,509.62
40,69.7,65.63,509.26
41,83.65,90.52,509.08
42,114.6,88.36,508.97
43,91.46,99.74,509.35
44,86.54,36.33,509.12
45,61.95,64.14,509.72
46,43.84,99.63,509.31
47,105.43,130.81,509.33
48,77.54,98.88,509.02
49,84.76,59.82,509.4
50,101.76,56.82,509.05
51,67.34,76.83,509.78
52,95.2,17.47,509.52
53,134.64,18.8,509.21
54,68.05,93.81,509.24
55,80.07,57.68,509.28
56,48.12,78.7,509.3
57,80.24,114.28,509.56
58,90.16,63.82,509.62
59,59.54,63.91,509.92
60,10.23,46.77,509.62
61,75.88,100.74,509.75
62,111.89,137.07,509.92
63,97.69,78.18,509.4
64,90.41,70.03,509.68
65,61.47,81.34,509.59
66,53.31,47.6,509.36
67,34.06,41.32,509.5
68,2.27,5.42,509.58
69,0.0,0.0,509.46
70,0.0,0.0,509.68
71,0.0,0.0,509.72
72,0.0,0.0,509.5
73,0.0,0.0,509.39
74,0.0,0.0,509.54
75,0.0,0.0,509.38
76,65.82,54.79,509.18
77,82.57,71.72,509.44
78,32.41,44.37,509.59
79,124.69,82.35,509.88
80,55.59,40.83,509.52
81,58.25,0.0,509.54
82,138.58,0.0,509.43
